Probability,Outcome
0.447866397,Y
0.530600642,N
0.557767563,Y
0.406261328,N
0.468466323,N
0.111132966,N
0.315086544,N
0.3086822,N
0.078891158,N
0.727981899,N
0.294888051,N
0.169339078,N
0.068550929,Y
0.231334671,N
0.324399899,N
0.438594954,N
0.408718536,N
0,N
0,N
0.120300532,N
0.067801922,N
0.568513294,N
0.040393049,N
0.294337147,N
0.115658074,N
0.673047669,Y
0.347548967,N
0.516295788,N
0.308122798,N
0.754372512,Y
0.769317689,Y
0.103952616,N
0.121393214,N
0.548850316,N
0.261977442,N
0.522458247,N
0,N
0.256203567,N
0,N
0.487916815,N
0.796054763,Y
0.709041719,N
0.301145691,N
0.497484719,Y
0.615584764,N
0.520856294,N
0,N
0.626929577,N
0.36799451,N
0,N
0.006879945,N
0,N
0.025496152,Y
0,N
0,N
0.032772051,Y
0.151885573,N
0.177721564,N
0.503662117,N
0.672787115,N
0.651753025,Y
0.325596852,N
0.781215355,Y
0.275444567,N
0,N
0.277186692,N
0,N
0.405024873,N
0.012000986,N
0.63881002,Y
0.672049943,N
0,Y
0,N
0.15375826,N
0,N
0.040116596,Y
0.081395817,N
0.115770448,N
0,N
0.250143134,N
0.440255008,N
0,N
0.171715908,N
0.726711067,N
0.523365519,Y
0.272087078,Y
0.599086806,N
0.343013484,N
0.601392335,N
0,N
0.310040861,N
0.439556433,N
0.557011947,Y
0,N
0.233003885,N
0.150040383,N
0.281476171,N
0,N
0.699680421,N
0.16016598,N
